"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0,0.6,0.6,4,1,0,0,12,0,1,1,0
0,0.2,0.2,8,1,0,0,13,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.5,0.5,5,0,0,0,10,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.3,0.3,7,0,0,0,10,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.3,0.3,7,0,0,0,10,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.3,0.3,7,0,0,0,10,0,1,1,0
0,0.3,0.3,7,0,0,0,10,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0.2,0.2,8,0,0,0,10,0,1,1,0
0,0.5,0.5,5,0,0,0,10,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.4,0.4,6,0.75,0.0769230769230769,0.1,12,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.6,0.6,4,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.7,0.7,3,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.5,0.5,5,0,0,0,10,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.5,0.5,5,0,0,0,10,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.5,0.5,5,0,0,0,10,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.5,0.5,5,0.75,0.0769230769230769,0.1,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.5,0.5,5,0.666666666666667,0.0833333333333333,0.1,11,0,1,1,0
0,0.1,0.1,9,1,0,0,11,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.2,0.2,8,0.8,0.0714285714285714,0.1,13,0,1,1,0
0,0.6,0.6,4,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.6,0.6,4,1,0,0,13,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.6,0.6,4,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,14,0,1,1,0
0,0.1,0.1,9,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.7,0.7,3,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.6,0.6,4,0,0,0,10,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.2,0.2,8,1,0,0,13,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,15,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.6,0.6,4,1,0,0,11,0,1,1,0
0,0.5,0.5,5,0,0,0,10,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.6,0.6,4,0,0,0,10,0,1,1,0
0,0.1,0.1,9,1,0,0,12,0,1,1,0
0,0.6,0.6,4,0,0,0,10,0,1,1,0
0,0.1,0.1,9,0,0,0,10,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.2,0.2,8,1,0,0,15,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.1,0.1,9,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.7,0.7,3,1,0,0,11,0,1,1,0
0,0.6,0.6,4,1,0,0,11,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.5,0.5,5,0,0,0,10,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,14,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.1,0.1,9,1,0,0,12,0,1,1,0
0,0.1,0.1,9,1,0,0,12,0,1,1,0
0,0.1,0.1,9,1,0,0,13,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.1,0.1,9,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,14,0,1,1,0
0,0.1,0.1,9,1,0,0,13,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.2,0.2,8,0.75,0.0769230769230769,0.1,12,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.6,0.6,4,1,0,0,13,0,1,1,0
0,0.3,0.3,7,0,0,0,10,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.6,0.6,4,1,0,0,11,0,1,1,0
0,0.1,0.1,9,0.4,0.25,0.3,9,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0.2,0.2,8,0.5,0.0909090909090909,0.1,10,0,1,1,0
0,0.6,0.6,4,1,0,0,14,0,1,1,0
0,0.4,0.4,6,1,0,0,14,0,1,1,0
0,0.6,0.6,4,1,0,0,14,0,1,1,0
0,0.3,0.3,7,0,0,0,10,0,1,1,0
0,0.3,0.3,7,1,0,0,14,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.3,0.3,7,0.8,0.0714285714285714,0.1,13,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,0,0,0,10,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.6,0.6,4,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,14,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,0.666666666666667,0.0833333333333333,0.1,11,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.6,0.6,4,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,14,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0.5,0.5,5,0,0,0,10,0,1,1,0
0,0,0,10,0.8,0.0714285714285714,0.1,13,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.4,0.4,6,0,0.1,0.1,9,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.6,0.6,4,0,0,0,10,0,1,1,0
0,0.4,0.4,6,0,0.1,0.1,9,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.4,0.4,6,0.75,0.0769230769230769,0.1,12,0,1,1,0
0,0.3,0.3,7,0,0.2,0.2,8,0,1,1,0
0,0.1,0.1,9,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,14,0,1,1,0
0,0.4,0.4,6,1,0,0,14,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.1,0.1,9,1,0,0,11,0,1,1,0
0,0.2,0.2,8,0.5,0.0909090909090909,0.1,10,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.1,0.1,9,0,0,0,10,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,13,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.3,0.3,7,0.5,0.166666666666667,0.2,10,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0,0,10,1,0,0,11,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.1,0.1,9,1,0,0,14,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.2,0.2,8,0.8,0.0714285714285714,0.1,13,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,14,0,1,1,0
0,0,0,10,1,0,0,13,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0.3,0.3,7,0,0,0,10,0,1,1,0
0,0.1,0.1,9,0.75,0.0769230769230769,0.1,12,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.2,0.2,8,0.75,0.0769230769230769,0.1,12,0,1,1,0
0,0.3,0.3,7,0.75,0.0769230769230769,0.1,12,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.5,0.5,5,0.75,0.0769230769230769,0.1,12,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0,0,10,1,0,0,11,0,1,1,0
0,0.5,0.5,5,0,0,0,10,0,1,1,0
0,0.3,0.3,7,0,0,0,10,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.2,0.2,8,0,0,0,10,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.2,0.2,8,0,0,0,10,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.1,0.1,9,1,0,0,13,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.4,0.4,6,0.666666666666667,0.0833333333333333,0.1,11,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.1,0.1,9,1,0,0,14,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,0.5,0.0909090909090909,0.1,10,0,1,1,0
0,0.1,0.1,9,1,0,0,13,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.3,0.3,7,0,0,0,10,0,1,1,0
0,0.2,0.2,8,1,0,0,14,0,1,1,0
0,0.1,0.1,9,1,0,0,11,0,1,1,0
0,0.2,0.2,8,0,0,0,10,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.6,0.6,4,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.1,0.1,9,1,0,0,12,0,1,1,0
0,0.2,0.2,8,0,0,0,10,0,1,1,0
0,0.5,0.5,5,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,14,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.1,0.1,9,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0,0,10,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.3,0.3,7,0.5,0.0909090909090909,0.1,10,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.3,0.3,7,0,0,0,10,0,1,1,0
0,0.3,0.3,7,0.666666666666667,0.0833333333333333,0.1,11,0,1,1,0
0,0.3,0.3,7,1,0,0,14,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.1,0.1,9,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.2,0.2,8,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,0,0,0,10,0,1,1,0
0,0.5,0.5,5,0.75,0.0769230769230769,0.1,12,0,1,1,0
0,0.5,0.5,5,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,14,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,0,0,0,10,0,1,1,0
0,0.4,0.4,6,1,0,0,14,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.1,0.1,9,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.5,0.5,5,1,0,0,14,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.5,0.5,5,0.5,0.0909090909090909,0.1,10,0,1,1,0
0,0.4,0.4,6,0,0.1,0.1,9,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.1,0.1,9,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,0.5,0.0909090909090909,0.1,10,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0.3,0.3,7,0,0,0,10,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,13,0,1,1,0
0,0.3,0.3,7,0.666666666666667,0.0833333333333333,0.1,11,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0.2,0.2,8,0,0,0,10,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,13,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.1,0.1,9,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.3,0.3,7,0,0,0,10,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,14,0,1,1,0
0,0.2,0.2,8,0,0,0,10,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.4,0.4,6,0.75,0.0769230769230769,0.1,12,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.1,0.1,9,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,14,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,13,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.5,0.5,5,0.75,0.0769230769230769,0.1,12,0,1,1,0
0,0.4,0.4,6,1,0,0,14,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,13,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.2,0.2,8,0.833333333333333,0.0666666666666667,0.1,14,0,1,1,0
0,0.2,0.2,8,1,0,0,12,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.3,0.3,7,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,14,0,1,1,0
0,0.6,0.6,4,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.2,0.2,8,1,0,0,13,0,1,1,0
0,0.5,0.5,5,1,0,0,14,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.5,0.5,5,0,0,0,10,0,1,1,0
0,0.2,0.2,8,1,0,0,11,0,1,1,0
0,0.6,0.6,4,1,0,0,11,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,14,0,1,1,0
0,0.5,0.5,5,1,0,0,13,0,1,1,0
0,0.3,0.3,7,0.666666666666667,0.0833333333333333,0.1,11,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,13,0,1,1,0
0,0.5,0.5,5,0,0.1,0.1,9,0,1,1,0
0,0.1,0.1,9,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,14,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,11,0,1,1,0
0,0,0,10,0.75,0.0769230769230769,0.1,12,0,1,1,0
0,0.1,0.1,9,1,0,0,12,0,1,1,0
0,0.3,0.3,7,0.75,0.0769230769230769,0.1,12,0,1,1,0
0,0.1,0.1,9,0.666666666666667,0.0833333333333333,0.1,11,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,13,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.3,0.3,7,0,0,0,10,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,11,0,1,1,0
0,0.4,0.4,6,0,0,0,10,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,12,0,1,1,0
0,0.3,0.3,7,1,0,0,12,0,1,1,0
0,0.4,0.4,6,1,0,0,12,0,1,1,0
0,0.5,0.5,5,1,0,0,13,0,1,1,0
